Inventory ID,Project ID,Material Type,Quantity,Unit Price,Supplier Name,Supplier Contact,Location,Storage Location,Storage Conditions,Reorder Level,Reorder Quantity,Project Type,Project Name,Order Date,Expected Delivery Date,Actual Delivery Date,Procurement Status,Payment Status,Compliance Status,Risk Factor,Total Cost
INV-1996,PROJ-40,Wood,4022,7.66,"Brewer, Swanson and Gutierrez",001-806-313-3997,Dubai,Dubai Silicon Oasis,Open-air,91,256,Commercial,Smith-Nguyen Development Project,14-08-2024,16-01-2025,21-12-2024,Delivered,Overdue,Non-compliant,Delay in Delivery,30808.52
INV-1997,PROJ-21,Cement,2008,82.35,Cruz-Stuart,-6197,Abu Dhabi,ICAD,Open-air,79,427,Mixed-use,Coleman-Garcia Development Project,05-03-2024,06-12-2024,19-07-2024,Pending,Paid,Pending,Material Shortage,165358.8
INV-1998,PROJ-82,Tiles,1665,25.29,Chase PLC,(252)670-6990x060,Abu Dhabi,Mussafah Industrial Area,Open-air,126,390,Commercial,Schaefer Inc Development Project,11-11-2023,30-03-2025,12-03-2025,In-progress,Overdue,Compliant,Cost Overruns,42107.85
INV-1999,PROJ-54,Wood,1949,6.25,Robinson Inc,349.572.8170x87866,Dubai,Dubai Investment Park (DIP),Climate-controlled,76,222,Residential,Pennington and Sons Development Project,15-10-2023,06-12-2024,09-04-2024,In-progress,Paid,Compliant,Material Shortage,12181.25
INV-2000,PROJ-9,Safety Equipment,4387,148.82,Harper Ltd,(775)280-6263,Sharjah,Industrial Area 10,Open-air,60,472,Mixed-use,Harper-Vazquez Development Project,14-09-2024,,,Cancelled,Paid,Compliant,Cost Overruns,652873.34
INV-2001,PROJ-80,Wood,4803,5.74,Sullivan-Sutton,001-530-694-6120x3445,Dubai,Dubai Silicon Oasis,Climate-controlled,122,497,Commercial,"Anderson, Patterson and Johns Development Project",30-10-2023,28-12-2024,28-12-2024,Pending,Paid,Pending,Delay in Delivery,27569.22
INV-2002,PROJ-55,Paint,3924,19.36,Sullivan-Sutton,573.543.9428x220,Dubai,Dubai Investment Park (DIP),Climate-controlled,188,285,Mixed-use,"Robbins, Rogers and Silva Development Project",05-09-2024,07-06-2025,18-03-2025,In-progress,Paid,Pending,Material Shortage,75968.64
INV-2003,PROJ-51,Bricks,778,12,"Maynard, Holt and Warren",870-602-7292,Sharjah,Al Khan Industrial Area,Covered,93,318,Mixed-use,Torres LLC Development Project,09-04-2024,,,Cancelled,Overdue,Non-compliant,Material Shortage,9336
INV-2004,PROJ-11,Paint,957,15.9,Clark-Adams,629.568.8152,Sharjah,Al Saja'a Industrial Area,Climate-controlled,142,318,Mixed-use,White PLC Development Project,28-07-2024,26-12-2024,06-10-2024,Delivered,Paid,Compliant,Delay in Delivery,15216.3
INV-2005,PROJ-96,Glass,4342,31.97,Cruz-Stuart,001-426-715-3847x1605,Abu Dhabi,ICAD,Climate-controlled,55,292,Mixed-use,Trujillo and Sons Development Project,28-08-2024,05-01-2025,02-11-2024,Pending,Paid,Non-compliant,Cost Overruns,138813.74
INV-2006,PROJ-40,Glass,3013,21.75,"Mayo, Chen and Reed",(859)952-9591x08134,Dubai,Al Quoz Industrial Area,Covered,72,398,Mixed-use,Smith-Nguyen Development Project,03-09-2024,,,Cancelled,Paid,Compliant,Delay in Delivery,65532.75
INV-2007,PROJ-75,Paint,977,16.92,Sullivan-Sutton,937-719-3646x27575,Abu Dhabi,Al Ain Industrial Area,Open-air,75,470,Residential,"Smith, Reed and Washington Development Project",19-12-2023,,,Cancelled,Paid,Non-compliant,Material Shortage,16530.84
INV-2008,PROJ-32,Sand,4569,13.38,Hall-Green,(803)866-1904,Sharjah,Hamriyah Free Zone,Climate-controlled,84,217,Mixed-use,Morrison Group Development Project,02-06-2024,10-11-2024,07-07-2024,Pending,Overdue,Pending,Material Shortage,61133.22
INV-2009,PROJ-47,Wood,4312,5.34,Harper Ltd,682.623.8564x13912,Abu Dhabi,Baniyas East,Climate-controlled,115,343,Mixed-use,Wallace Group Development Project,18-10-2023,16-05-2025,22-02-2024,Pending,Pending,Compliant,Delay in Delivery,23026.08
INV-2010,PROJ-32,Cement,3242,98.21,"Fowler, Brown and White",712-576-0158x0002,Abu Dhabi,Khalifa Industrial Zone Abu Dhabi (KIZAD),Open-air,152,409,Commercial,Morrison Group Development Project,29-02-2024,05-10-2024,08-04-2024,In-progress,Paid,Non-compliant,Delay in Delivery,318396.82
INV-2011,PROJ-30,Safety Equipment,3694,44.41,"Fowler, Brown and White",374-681-2186x752,Sharjah,Industrial Area 10,Open-air,115,384,Commercial,Perkins and Sons Development Project,17-08-2024,,,Cancelled,Paid,Pending,Delay in Delivery,164050.54
INV-2012,PROJ-34,Safety Equipment,1647,55.85,Robinson Inc,2354930911,Sharjah,Industrial Area 10,Open-air,96,468,Commercial,"Lane, Elliott and Taylor Development Project",27-05-2024,18-05-2025,03-01-2025,Pending,Overdue,Non-compliant,Cost Overruns,91984.95
INV-2013,PROJ-66,Wood,872,4.11,"Barton, Johnson and Stark",(672)869-1604x324,Abu Dhabi,Mussafah Industrial Area,Climate-controlled,125,462,Mixed-use,Cox Group Development Project,29-06-2024,21-11-2024,05-07-2024,Delivered,Pending,Non-compliant,Material Shortage,3583.92
INV-2014,PROJ-81,Sand,277,11.26,"Maynard, Holt and Warren",422.877.2319x684,Dubai,Dubai Silicon Oasis,Covered,75,294,Commercial,Patterson-Wood Development Project,13-01-2024,11-04-2025,02-07-2024,Delivered,Overdue,Compliant,Cost Overruns,3119.02
INV-2015,PROJ-79,Tiles,3262,27.41,Chase PLC,210.756.2665,Abu Dhabi,Mussafah Industrial Area,Climate-controlled,112,309,Commercial,Hill-Whitney Development Project,04-07-2024,25-03-2025,06-01-2025,Pending,Paid,Non-compliant,Cost Overruns,89411.42
INV-2016,PROJ-62,Cement,4812,83.18,Chase PLC,(382)274-5483,Abu Dhabi,Al Ain Industrial Area,Covered,155,252,Mixed-use,Crosby PLC Development Project,10-02-2024,29-07-2025,31-03-2025,In-progress,Paid,Compliant,Material Shortage,400262.16
INV-2017,PROJ-95,Tiles,1941,20.4,Sullivan-Sutton,(278)896-1732,Abu Dhabi,Khalifa Industrial Zone Abu Dhabi (KIZAD),Covered,122,404,Mixed-use,Kim-Ross Development Project,28-10-2023,09-06-2025,28-11-2024,In-progress,Pending,Pending,Delay in Delivery,39596.4
INV-2018,PROJ-23,Safety Equipment,3334,48.11,"Glenn, Burton and Henry",526-829-8529,Abu Dhabi,Khalifa Industrial Zone Abu Dhabi (KIZAD),Open-air,192,429,Commercial,Avery-Hurst Development Project,18-04-2024,23-05-2025,08-04-2025,In-progress,Paid,Pending,Delay in Delivery,160398.74
INV-2019,PROJ-47,Sand,4275,10.78,Clark-Adams,351-851-7221,Sharjah,Al Saja'a Industrial Area,Covered,86,485,Mixed-use,Wallace Group Development Project,31-05-2024,26-10-2024,03-09-2024,Pending,Pending,Pending,Delay in Delivery,46084.5
INV-2020,PROJ-32,Tiles,1619,39.29,"Fowler, Morales and Yang",839-267-0261x7084,Dubai,Dubai Silicon Oasis,Open-air,162,492,Mixed-use,Morrison Group Development Project,08-12-2023,13-03-2025,21-08-2024,Pending,Paid,Non-compliant,Material Shortage,63610.51
INV-2021,PROJ-55,Safety Equipment,3049,123.89,Murphy-Harvey,366-682-2519,Abu Dhabi,Al Ain Industrial Area,Open-air,164,487,Residential,"Robbins, Rogers and Silva Development Project",19-01-2024,02-08-2025,24-06-2024,Pending,Pending,Compliant,Material Shortage,377740.61
INV-2022,PROJ-62,Tiles,638,14.09,"Fowler, Morales and Yang",685-705-9468x030,Dubai,Dubai Silicon Oasis,Climate-controlled,60,256,Residential,Crosby PLC Development Project,13-10-2023,,,Cancelled,Paid,Compliant,Cost Overruns,8989.42
INV-2023,PROJ-55,Cement,494,86.6,"Maynard, Holt and Warren",001-941-843-2166x1100,Sharjah,Industrial Area 10,Climate-controlled,165,407,Residential,"Robbins, Rogers and Silva Development Project",23-03-2024,,,Cancelled,Paid,Non-compliant,Material Shortage,42780.4
INV-2024,PROJ-81,Safety Equipment,4373,103.59,"Barton, Johnson and Stark",402-910-5857,Dubai,Ras Al Khor Industrial Area,Covered,62,376,Mixed-use,Patterson-Wood Development Project,06-01-2024,19-03-2025,26-03-2024,In-progress,Overdue,Non-compliant,Cost Overruns,452999.07
INV-2025,PROJ-83,Wood,3297,6.23,Hall-Green,5625353943,Dubai,Dubai Silicon Oasis,Open-air,76,340,Commercial,"Perez, Anderson and Morgan Development Project",04-12-2023,23-03-2025,07-01-2024,In-progress,Paid,Compliant,Cost Overruns,20540.31
INV-2026,PROJ-96,Cement,1582,80.03,Harper Ltd,457.548.4029x7302,Abu Dhabi,Mussafah Industrial Area,Climate-controlled,157,473,Commercial,Trujillo and Sons Development Project,02-09-2024,15-11-2024,12-09-2024,Pending,Paid,Pending,Material Shortage,126607.46
INV-2027,PROJ-36,Bricks,529,1.23,"Mayo, Chen and Reed",625-949-1219,Dubai,Jebel Ali Free Zone (JAFZA),Open-air,139,211,Residential,Lewis-Leblanc Development Project,23-04-2024,20-08-2025,10-08-2025,In-progress,Pending,Compliant,Delay in Delivery,650.67
INV-2028,PROJ-64,Cement,469,86.35,"Fowler, Morales and Yang",365-931-8525x79605,Sharjah,Industrial Area 10,Open-air,109,426,Commercial,Lopez-Murray Development Project,01-09-2024,,,Cancelled,Overdue,Compliant,Cost Overruns,40498.15
INV-2029,PROJ-51,Steel,1167,612.98,"Mayo, Chen and Reed",624.576.4182x6785,Sharjah,Industrial Area 10,Climate-controlled,112,314,Mixed-use,Torres LLC Development Project,03-05-2024,26-06-2025,31-08-2024,Delivered,Overdue,Non-compliant,Material Shortage,715347.66
INV-2030,PROJ-26,Glass,3540,24.61,Clark-Adams,+1-257-552-9537x835,Dubai,Ras Al Khor Industrial Area,Covered,197,251,Commercial,"Austin, Miller and Foley Development Project",14-07-2024,14-01-2025,17-12-2024,Pending,Overdue,Pending,Cost Overruns,87119.4
INV-2031,PROJ-36,Paint,2701,27.82,Wade-Wilson,243.902.2943,Dubai,Dubai Investment Park (DIP),Open-air,188,380,Residential,Lewis-Leblanc Development Project,12-02-2024,,,Cancelled,Pending,Pending,Material Shortage,75141.82
INV-2032,PROJ-14,Steel,1926,608.86,"Fowler, Brown and White",(947)846-3733x2273,Dubai,Dubai Silicon Oasis,Climate-controlled,140,403,Mixed-use,Williams PLC Development Project,30-03-2024,12-05-2025,06-01-2025,Pending,Paid,Non-compliant,Cost Overruns,1172664.36
INV-2033,PROJ-45,Steel,3165,787.46,"Mayo, Chen and Reed",(800)856-4191,Abu Dhabi,Khalifa Industrial Zone Abu Dhabi (KIZAD),Climate-controlled,195,275,Residential,Fisher Inc Development Project,19-12-2023,,,Cancelled,Pending,Pending,Material Shortage,2492310.9
INV-2034,PROJ-25,Safety Equipment,4390,126.12,Wade-Wilson,+1-993-851-3090x48657,Abu Dhabi,Al Ain Industrial Area,Open-air,125,477,Mixed-use,"Ruiz, Williams and Larson Development Project",12-04-2024,22-07-2025,30-10-2024,Pending,Paid,Compliant,Cost Overruns,553666.8
INV-2035,PROJ-71,Wood,4824,7.24,"Fowler, Brown and White",706-376-0765,Dubai,Dubai Investment Park (DIP),Covered,141,419,Commercial,Crawford-Bates Development Project,10-06-2024,17-05-2025,10-09-2024,In-progress,Pending,Non-compliant,Material Shortage,34925.76
INV-2036,PROJ-6,Bricks,4830,14.98,"Mayo, Chen and Reed",3175096688,Sharjah,Al Khan Industrial Area,Covered,66,383,Commercial,"Bradford, Diaz and Brown Development Project",01-12-2023,21-07-2025,14-02-2024,Delivered,Overdue,Pending,Delay in Delivery,72353.4
INV-2037,PROJ-51,Paint,4184,11.93,"Jackson, Thomas and Duncan",677-594-7290x0638,Abu Dhabi,ICAD,Climate-controlled,134,303,Commercial,Torres LLC Development Project,04-07-2024,22-01-2025,27-08-2024,Pending,Pending,Compliant,Delay in Delivery,49915.12
INV-2038,PROJ-84,Glass,339,46.74,Harper Ltd,+1-469-634-7634x45229,Sharjah,Al Khan Industrial Area,Open-air,58,495,Mixed-use,Proctor-Moore Development Project,25-05-2024,,,Cancelled,Overdue,Compliant,Material Shortage,15844.86
INV-2039,PROJ-18,Bricks,4668,3.61,Murphy-Harvey,+1-383-385-0013x9075,Dubai,Dubai Silicon Oasis,Open-air,59,253,Mixed-use,"Phillips, Jackson and Richards Development Project",20-08-2024,27-04-2025,16-04-2025,Delivered,Pending,Non-compliant,Material Shortage,16851.48
INV-2040,PROJ-16,Paint,2053,14.53,"Fowler, Morales and Yang",640-962-3182x64869,Dubai,Ras Al Khor Industrial Area,Covered,80,397,Residential,Wells-Bowman Development Project,01-03-2024,10-10-2024,13-04-2024,In-progress,Paid,Non-compliant,Cost Overruns,29830.09
INV-2041,PROJ-25,Safety Equipment,3926,116.59,"Miller, Nelson and Bailey",745-922-0580x034,Dubai,Al Quoz Industrial Area,Climate-controlled,146,470,Commercial,"Ruiz, Williams and Larson Development Project",12-10-2023,21-08-2025,25-07-2025,In-progress,Pending,Non-compliant,Material Shortage,457732.34
INV-2042,PROJ-1,Safety Equipment,207,76.49,Robinson Inc,(774)312-1681x53388,Sharjah,Al Khan Industrial Area,Climate-controlled,176,252,Commercial,"Peterson, Krause and Abbott Development Project",28-11-2023,31-03-2025,21-01-2025,Delivered,Overdue,Non-compliant,Delay in Delivery,15833.43
INV-2043,PROJ-51,Paint,1966,20.59,George Ltd,001-266-224-3457x322,Sharjah,Hamriyah Free Zone,Open-air,165,375,Commercial,Torres LLC Development Project,05-08-2024,19-07-2025,15-04-2025,Pending,Pending,Non-compliant,Material Shortage,40479.94
INV-2044,PROJ-77,Steel,2099,752.22,"Fowler, Brown and White",+1-899-832-6120x55287,Sharjah,Industrial Area 10,Climate-controlled,95,273,Mixed-use,Ward-Davis Development Project,24-03-2024,,,Cancelled,Pending,Non-compliant,Cost Overruns,1578909.78
INV-2045,PROJ-23,Wood,625,5.87,"Jackson, Thomas and Duncan",001-407-329-6945,Sharjah,Al Khan Industrial Area,Climate-controlled,154,450,Mixed-use,Avery-Hurst Development Project,04-02-2024,29-10-2024,29-03-2024,Pending,Overdue,Compliant,Material Shortage,3668.75
INV-2046,PROJ-74,Bricks,1292,10.05,"Maynard, Holt and Warren",637-401-6159x25080,Sharjah,Al Khan Industrial Area,Climate-controlled,112,335,Residential,Mitchell-Jennings Development Project,08-03-2024,27-05-2025,28-04-2024,Pending,Overdue,Pending,Cost Overruns,12984.6
INV-2047,PROJ-23,Paint,3663,16.38,"Brewer, Swanson and Gutierrez",367.816.9110x4491,Dubai,Dubai Investment Park (DIP),Climate-controlled,189,214,Residential,Avery-Hurst Development Project,02-08-2024,15-09-2025,24-08-2025,Pending,Overdue,Non-compliant,Cost Overruns,59999.94
INV-2048,PROJ-53,Wood,2996,6.83,"Fowler, Brown and White",803-976-8251,Abu Dhabi,Baniyas East,Covered,75,476,Residential,Reyes-Eaton Development Project,17-03-2024,,,Cancelled,Pending,Pending,Material Shortage,20462.68
INV-2049,PROJ-16,Steel,4121,855.66,Sullivan-Sutton,439.980.9446x0284,Sharjah,Industrial Area 10,Covered,84,435,Residential,Wells-Bowman Development Project,29-12-2023,,,Cancelled,Pending,Non-compliant,Material Shortage,3526174.86
INV-2050,PROJ-59,Bricks,4306,8.78,"Fowler, Brown and White",487.529.3971,Abu Dhabi,Khalifa Industrial Zone Abu Dhabi (KIZAD),Climate-controlled,178,248,Commercial,Rosario Ltd Development Project,26-05-2024,07-01-2025,30-05-2024,Delivered,Paid,Pending,Cost Overruns,37806.68
INV-2051,PROJ-52,Glass,1102,42.3,"Brewer, Swanson and Gutierrez",772.965.6414x7198,Dubai,Ras Al Khor Industrial Area,Open-air,101,303,Commercial,Ross-Evans Development Project,16-05-2024,12-04-2025,27-08-2024,Pending,Pending,Non-compliant,Delay in Delivery,46614.6
INV-2052,PROJ-62,Steel,898,927.91,Wade-Wilson,9252492091,Abu Dhabi,ICAD,Open-air,83,287,Residential,Crosby PLC Development Project,27-12-2023,16-07-2025,01-06-2024,In-progress,Pending,Non-compliant,Material Shortage,833263.18
INV-2053,PROJ-24,Cement,197,82.72,"Maynard, Holt and Warren",6423629945,Dubai,Al Quoz Industrial Area,Open-air,90,444,Mixed-use,Walker Ltd Development Project,02-09-2024,,,Cancelled,Paid,Non-compliant,Cost Overruns,16295.84
INV-2054,PROJ-77,Safety Equipment,3149,73.98,"Fowler, Morales and Yang",(936)896-5016,Sharjah,Al Khan Industrial Area,Climate-controlled,89,433,Commercial,Ward-Davis Development Project,08-10-2023,07-07-2025,09-08-2024,In-progress,Overdue,Non-compliant,Delay in Delivery,232963.02
INV-2055,PROJ-86,Sand,3614,13.37,Harper Ltd,-9908,Abu Dhabi,Baniyas East,Open-air,72,416,Residential,Flynn LLC Development Project,22-08-2024,10-06-2025,24-03-2025,Pending,Paid,Compliant,Material Shortage,48319.18
INV-2056,PROJ-8,Bricks,3799,9.98,"Brewer, Swanson and Gutierrez",862.408.7681x247,Abu Dhabi,Al Ain Industrial Area,Open-air,170,322,Residential,Fuller-Monroe Development Project,20-09-2024,,,Cancelled,Overdue,Non-compliant,Material Shortage,37914.02
INV-2057,PROJ-90,Sand,1687,7.73,Chase PLC,767.228.4735x00240,Sharjah,Hamriyah Free Zone,Covered,105,234,Commercial,Weber Group Development Project,10-06-2024,16-05-2025,18-06-2024,Delivered,Pending,Pending,Cost Overruns,13040.51
INV-2058,PROJ-23,Bricks,2000,11.97,Harper Ltd,(727)407-7771x8337,Dubai,Dubai Silicon Oasis,Open-air,188,377,Mixed-use,Avery-Hurst Development Project,01-06-2024,11-01-2025,16-11-2024,Pending,Pending,Non-compliant,Material Shortage,23940
INV-2059,PROJ-26,Bricks,2097,14.04,Chase PLC,001-217-426-6982,Dubai,Jebel Ali Free Zone (JAFZA),Climate-controlled,144,355,Commercial,"Austin, Miller and Foley Development Project",18-09-2024,17-09-2025,19-02-2025,In-progress,Pending,Compliant,Delay in Delivery,29441.88
INV-2060,PROJ-41,Paint,3868,22.57,"Miller, Nelson and Bailey",(620)609-6932x0911,Sharjah,Hamriyah Free Zone,Climate-controlled,63,494,Mixed-use,Hernandez-Davis Development Project,31-10-2023,,,Cancelled,Overdue,Pending,Cost Overruns,87300.76
INV-2061,PROJ-44,Tiles,438,8.54,George Ltd,535.547.1485,Abu Dhabi,Al Ain Industrial Area,Open-air,116,324,Mixed-use,"Duffy, Luna and Rosario Development Project",25-07-2024,16-02-2025,25-09-2024,Pending,Overdue,Pending,Delay in Delivery,3740.52
INV-2062,PROJ-74,Bricks,4453,11.24,George Ltd,-1624,Dubai,Jebel Ali Free Zone (JAFZA),Covered,169,288,Residential,Mitchell-Jennings Development Project,14-10-2023,10-01-2025,18-12-2023,Delivered,Paid,Non-compliant,Material Shortage,50051.72
INV-2063,PROJ-54,Cement,1197,96.48,Wade-Wilson,+1-501-730-0663x8014,Abu Dhabi,Khalifa Industrial Zone Abu Dhabi (KIZAD),Covered,99,270,Commercial,Pennington and Sons Development Project,17-08-2024,,,Cancelled,Paid,Compliant,Cost Overruns,115486.56
INV-2064,PROJ-12,Cement,2686,85.87,Hall-Green,001-290-815-2207,Dubai,Jebel Ali Free Zone (JAFZA),Climate-controlled,121,225,Residential,"Thompson, Diaz and Russo Development Project",08-02-2024,26-07-2025,22-07-2024,Pending,Paid,Non-compliant,Delay in Delivery,230646.82
INV-2065,PROJ-29,Safety Equipment,4082,42.37,"Barton, Johnson and Stark",761.266.0749,Dubai,Al Quoz Industrial Area,Climate-controlled,144,261,Residential,"Pierce, Riggs and Gutierrez Development Project",04-09-2024,13-03-2025,28-01-2025,Pending,Paid,Compliant,Delay in Delivery,172954.34
INV-2066,PROJ-97,Bricks,1348,8.59,Chase PLC,(635)342-7668x802,Dubai,Ras Al Khor Industrial Area,Covered,93,339,Mixed-use,Hancock-Good Development Project,11-01-2024,26-12-2024,24-05-2024,Delivered,Paid,Non-compliant,Delay in Delivery,11579.32
INV-2067,PROJ-95,Wood,2601,5.8,Cruz-Stuart,223.361.4663,Abu Dhabi,Baniyas East,Covered,157,362,Mixed-use,Kim-Ross Development Project,12-01-2024,11-05-2025,15-04-2025,Delivered,Overdue,Non-compliant,Delay in Delivery,15085.8
INV-2068,PROJ-3,Wood,3451,5.55,"Fowler, Morales and Yang",774-248-3597x248,Abu Dhabi,ICAD,Open-air,181,424,Mixed-use,"Wallace, Green and Jennings Development Project",31-05-2024,08-01-2025,02-07-2024,Pending,Paid,Non-compliant,Cost Overruns,19153.05
INV-2069,PROJ-63,Steel,4923,750.75,"Fowler, Morales and Yang",923.614.6134x1790,Dubai,Al Quoz Industrial Area,Open-air,118,236,Mixed-use,Young-Weber Development Project,26-07-2024,07-07-2025,07-12-2024,Pending,Pending,Compliant,Cost Overruns,3695942.25
INV-2070,PROJ-76,Glass,3281,22.99,"Miller, Nelson and Bailey",996-416-6472,Abu Dhabi,ICAD,Climate-controlled,63,291,Residential,Scott Ltd Development Project,02-10-2023,07-07-2025,23-04-2024,In-progress,Overdue,Pending,Material Shortage,75430.19
INV-2071,PROJ-26,Wood,134,5.64,"Brewer, Swanson and Gutierrez",(586)704-6700x108,Abu Dhabi,Baniyas East,Open-air,55,309,Commercial,"Austin, Miller and Foley Development Project",16-04-2024,23-06-2025,30-08-2024,Pending,Pending,Pending,Cost Overruns,755.76
INV-2072,PROJ-45,Wood,4384,5.98,Robinson Inc,916.729.6583x65755,Sharjah,SAIF Zone,Climate-controlled,71,247,Commercial,Fisher Inc Development Project,04-07-2024,,,Cancelled,Paid,Pending,Cost Overruns,26216.32
INV-2073,PROJ-55,Steel,1695,961.37,Murphy Ltd,205-949-2077,Dubai,Al Quoz Industrial Area,Open-air,102,372,Residential,"Robbins, Rogers and Silva Development Project",03-05-2024,01-02-2025,21-12-2024,Pending,Overdue,Pending,Delay in Delivery,1629522.15
INV-2074,PROJ-15,Tiles,3770,25.24,George Ltd,982.880.0121,Sharjah,SAIF Zone,Open-air,101,354,Mixed-use,Stewart-Lewis Development Project,09-05-2024,,,Cancelled,Overdue,Pending,Cost Overruns,95154.8
INV-2075,PROJ-65,Tiles,2112,27.19,Wade-Wilson,(659)632-8487x20891,Dubai,Ras Al Khor Industrial Area,Open-air,67,334,Residential,Nguyen-Reilly Development Project,20-10-2023,10-11-2024,03-05-2024,Pending,Pending,Pending,Cost Overruns,57425.28
INV-2076,PROJ-84,Paint,2307,11.19,Murphy Ltd,850-583-0611x8174,Abu Dhabi,Baniyas East,Climate-controlled,92,404,Mixed-use,Proctor-Moore Development Project,16-10-2023,,,Cancelled,Overdue,Compliant,Material Shortage,25815.33
INV-2077,PROJ-1,Glass,2726,24.56,"Jackson, Thomas and Duncan",300.982.3581,Abu Dhabi,Mussafah Industrial Area,Covered,67,497,Residential,"Peterson, Krause and Abbott Development Project",26-02-2024,31-08-2025,02-11-2024,Pending,Paid,Pending,Material Shortage,66950.56
INV-2078,PROJ-12,Sand,1930,11.48,"Miller, Nelson and Bailey",(649)233-9227x4360,Sharjah,Al Khan Industrial Area,Climate-controlled,168,360,Commercial,"Thompson, Diaz and Russo Development Project",13-06-2024,05-09-2025,01-09-2024,Delivered,Paid,Compliant,Cost Overruns,22156.4
INV-2079,PROJ-60,Bricks,1382,10.74,Cruz-Stuart,959-788-7735x78109,Dubai,Ras Al Khor Industrial Area,Open-air,164,232,Residential,Morris-Smith Development Project,18-03-2024,20-08-2025,15-06-2024,Pending,Overdue,Compliant,Delay in Delivery,14842.68
INV-2080,PROJ-57,Paint,3462,23.57,Clark-Adams,(478)276-8592,Sharjah,Al Saja'a Industrial Area,Open-air,80,243,Commercial,Bishop PLC Development Project,23-07-2024,21-02-2025,17-11-2024,Pending,Overdue,Pending,Material Shortage,81599.34
INV-2081,PROJ-47,Sand,3460,9.39,Cruz-Stuart,(786)649-9295,Sharjah,Al Khan Industrial Area,Open-air,157,350,Mixed-use,Wallace Group Development Project,11-07-2024,22-09-2025,14-07-2024,Pending,Pending,Non-compliant,Material Shortage,32489.4
INV-2082,PROJ-75,Bricks,2593,14.99,Chase PLC,-7560,Dubai,Al Quoz Industrial Area,Open-air,103,295,Residential,"Smith, Reed and Washington Development Project",03-10-2023,21-11-2024,15-11-2024,In-progress,Paid,Non-compliant,Cost Overruns,38869.07
INV-2083,PROJ-54,Glass,2681,43.78,"Mayo, Chen and Reed",494.252.8126x8661,Sharjah,Al Saja'a Industrial Area,Climate-controlled,187,368,Commercial,Pennington and Sons Development Project,08-06-2024,11-03-2025,07-03-2025,In-progress,Paid,Compliant,Cost Overruns,117374.18
INV-2084,PROJ-36,Paint,3168,23.34,Chase PLC,892-679-5596x9369,Sharjah,Al Khan Industrial Area,Covered,167,249,Commercial,Lewis-Leblanc Development Project,19-03-2024,12-06-2025,22-07-2024,Delivered,Paid,Compliant,Material Shortage,73941.12
INV-2085,PROJ-60,Bricks,3841,4.37,Sullivan-Sutton,001-585-368-6193x3337,Sharjah,SAIF Zone,Open-air,141,272,Mixed-use,Morris-Smith Development Project,23-04-2024,21-06-2025,18-05-2025,In-progress,Pending,Non-compliant,Cost Overruns,16785.17
INV-2086,PROJ-98,Cement,1530,89.69,Cruz-Stuart,-2281,Abu Dhabi,Al Ain Industrial Area,Open-air,130,443,Residential,"Washington, Day and Hughes Development Project",28-05-2024,25-04-2025,01-04-2025,In-progress,Overdue,Compliant,Material Shortage,137225.7
INV-2087,PROJ-47,Safety Equipment,4064,96.92,Clark-Adams,278.644.6839,Sharjah,Al Khan Industrial Area,Climate-controlled,156,239,Commercial,Wallace Group Development Project,07-08-2024,05-05-2025,26-04-2025,Delivered,Overdue,Pending,Delay in Delivery,393882.88
INV-2088,PROJ-42,Bricks,791,10.92,"Glenn, Burton and Henry",(622)872-5967x1622,Sharjah,Industrial Area 10,Climate-controlled,161,366,Mixed-use,Gregory Ltd Development Project,09-10-2023,19-06-2025,28-04-2025,Pending,Pending,Compliant,Material Shortage,8637.72
INV-2089,PROJ-1,Paint,3107,22.93,Sullivan-Sutton,001-903-216-3326x388,Abu Dhabi,Mussafah Industrial Area,Open-air,53,320,Mixed-use,"Peterson, Krause and Abbott Development Project",30-12-2023,25-04-2025,22-01-2024,Delivered,Overdue,Non-compliant,Material Shortage,71243.51
INV-2090,PROJ-8,Bricks,2293,0.49,"Miller, Nelson and Bailey",+1-728-448-1587x28143,Dubai,Dubai Silicon Oasis,Covered,143,367,Commercial,Fuller-Monroe Development Project,27-02-2024,18-11-2024,04-10-2024,Delivered,Pending,Non-compliant,Delay in Delivery,1123.57
INV-2091,PROJ-91,Steel,2513,795.35,Murphy-Harvey,930-470-2240,Dubai,Ras Al Khor Industrial Area,Open-air,162,319,Residential,Young-Sweeney Development Project,03-03-2024,26-07-2025,28-04-2024,In-progress,Pending,Pending,Delay in Delivery,1998714.55
INV-2092,PROJ-56,Paint,1876,26.3,Clark-Adams,001-716-696-1512x80959,Dubai,Al Quoz Industrial Area,Climate-controlled,195,288,Commercial,Smith-Hamilton Development Project,07-11-2023,06-07-2025,10-04-2025,In-progress,Paid,Compliant,Cost Overruns,49338.8
INV-2093,PROJ-82,Tiles,4997,29.01,"Mayo, Chen and Reed",629-306-9786x236,Dubai,Al Quoz Industrial Area,Covered,98,395,Commercial,Schaefer Inc Development Project,04-12-2023,02-09-2025,14-11-2024,Pending,Paid,Pending,Cost Overruns,144962.97
INV-2094,PROJ-83,Cement,4490,97.11,Cruz-Stuart,697.886.5236,Abu Dhabi,Mussafah Industrial Area,Open-air,193,440,Commercial,"Perez, Anderson and Morgan Development Project",18-06-2024,03-03-2025,11-12-2024,Delivered,Paid,Non-compliant,Cost Overruns,436023.9
